Messages and calls are end-to-end encrypted. No one outside of this chat, not even WhatsApp, can read or listen to them.
[1/7/26, 5:30:02 PM] - [Call]
[5/30/26, 2:10:58 PM] Nataraj: <sticker omitted>
[5/30/26, 2:11:04 PM] Nataraj: <sticker omitted>
[5/30/26, 2:47:49 PM] Rolex: 😘
[5/30/26, 2:47:54 PM] Rolex: <sticker omitted>
[5/30/26, 3:39:50 PM] Nataraj: <sticker omitted>
[5/30/26, 3:53:33 PM] Rolex: <sticker omitted>
[5/30/26, 7:14:28 PM] Nataraj: Polam
[5/30/26, 7:32:09 PM] White Devil: Irukingala guys
[5/30/26, 7:34:51 PM] Nataraj: Mmm
[6/1/26, 1:19:15 PM] Tamizh: Game
[6/1/26, 1:43:44 PM] Rolex: Dai potta
[6/1/26, 1:46:45 PM] Rolex: Va da
[6/1/26, 1:47:04 PM] Nataraj: <sticker omitted>
[6/1/26, 1:48:02 PM] Rolex: <sticker omitted>
[6/6/26, 10:14:12 PM] Nataraj: Guy's Game varingala
[6/7/26, 2:40:06 AM] Tamizh: <sticker omitted>
[6/7/26, 2:40:45 AM] Nataraj: Variya
[6/7/26, 2:41:02 AM] Nataraj: <sticker omitted>
[6/7/26, 2:41:13 AM] Nataraj: <sticker omitted>
[6/7/26, 2:42:58 AM] Tamizh: <sticker omitted>
[6/7/26, 2:47:32 AM] Nataraj: <sticker omitted>
[6/7/26, 2:47:39 AM] Nataraj: <sticker omitted>
[6/7/26, 2:50:12 AM] Tamizh: Potta
[6/7/26, 2:50:18 AM] Tamizh: Poi thunguda
[6/7/26, 2:53:10 AM] Nataraj: Saringa iya
[6/7/26, 2:54:11 AM] Tamizh: Dai
[6/7/26, 2:54:23 AM] Tamizh: Potta
[6/7/26, 7:15:09 PM] Sparrow: Polamaaaa
[6/7/26, 9:51:44 PM] Sparrow: Bro polamaaa
[6/7/26, 10:13:15 PM] White Devil: Polam.
[6/9/26, 7:19:39 PM] Nataraj: .....
[6/10/26, 12:42:21 PM] +91 91711 11101: [Forwarded] https://www.facebook.com/share/r/1CvrmYowLR/
[6/10/26, 12:42:40 PM] Nataraj: Facebook ah
[6/10/26, 12:43:20 PM] +91 91711 11101: <GIF omitted>
[6/13/26, 10:48:45 PM] Nataraj: <image omitted>
[6/13/26, 10:57:49 PM] Nataraj: <image omitted>
[6/14/26, 7:45:44 PM] Nataraj: Game
[6/14/26, 7:46:07 PM] Nataraj: Polama
[6/17/26, 12:14:46 AM] Nataraj: [Forwarded] https://youtube.com/shorts/Yu7S83DBRXc?si=SwvGgzowmrYZ7Qzj
[6/17/26, 1:02:39 AM] Nataraj: <image omitted>
[6/17/26, 7:28:57 PM] Sparrow: Bro polamaaaa
[6/18/26, 4:16:23 PM] Tamizh: <sticker omitted>
[6/18/26, 4:16:37 PM] Tamizh: Vanakam da maplai
[6/18/26, 4:20:48 PM] Nataraj: Veppur la irunthu
[6/18/26, 7:40:33 PM] Nataraj: Game polam ah
[6/19/26, 6:24:43 PM] Nataraj: .....
[6/20/26, 8:15:15 PM] Nataraj: ..
[6/20/26, 8:19:08 PM] Rolex: <sticker omitted>
[6/20/26, 8:19:41 PM] Nataraj: <sticker omitted>
[6/20/26, 8:19:57 PM] Rolex: <sticker omitted>
[6/20/26, 8:20:48 PM] Nataraj: <sticker omitted>
[6/20/26, 8:21:01 PM] Rolex: <sticker omitted>
[6/20/26, 8:21:13 PM] Nataraj: <sticker omitted>
[6/20/26, 8:25:24 PM] Rolex: <sticker omitted>
[6/20/26, 10:23:49 PM] Nataraj: <sticker omitted>
[6/20/26, 10:23:53 PM] Nataraj: Game
[6/20/26, 10:24:08 PM] Sparrow: 15 minutes
[6/20/26, 10:28:04 PM] Nataraj: Mm
[6/20/26, 11:17:30 PM] Sparrow: Loading
[6/20/26, 11:17:45 PM] Sparrow: <image omitted>
[6/23/26, 9:40:23 PM] Sparrow: Bro
[6/23/26, 9:40:27 PM] Sparrow: Polamaaaa
[6/23/26, 9:42:54 PM] White Devil: Hmmm
[6/24/26, 7:41:10 PM] Sparrow: Polamaaaa
[6/26/26, 7:19:33 PM] Nataraj: Polamaa
[6/26/26, 7:19:39 PM] Nataraj: Guy's..
[6/26/26, 7:32:08 PM] Rolex: <sticker omitted>
[6/26/26, 7:32:20 PM] Nataraj: <sticker omitted>
[6/26/26, 7:44:11 PM] Rolex: <sticker omitted>
[6/26/26, 7:44:21 PM] Nataraj: <sticker omitted>
[6/26/26, 7:51:02 PM] Tamizh: <sticker omitted>
[6/26/26, 7:51:17 PM] Nataraj: <sticker omitted>
[6/26/26, 9:29:31 PM] Rolex: <sticker omitted>
[6/27/26, 8:11:48 AM] Tamizh: <sticker omitted>
[6/29/26, 7:10:18 PM] Rolex: <image omitted>
[6/29/26, 7:19:02 PM] You: <sticker omitted>
[6/29/26, 7:19:24 PM] Rolex: <sticker omitted>
[6/30/26, 6:58:58 PM] Nataraj: Polama
[6/30/26, 7:03:22 PM] Tamizh: Suck pannava
[6/30/26, 8:21:49 PM] Nataraj: Game
[7/13/26, 8:08:51 PM] Nataraj: Polam
[7/13/26, 8:10:52 PM] You: I will join at 10:30
[7/13/26, 8:13:54 PM] Tamizh: Va
[7/13/26, 8:13:57 PM] Tamizh: Poolam
[7/13/26, 10:30:28 PM] Tamizh: Game
[7/18/26, 10:15:50 PM] Nataraj: Game polam ah
[7/19/26, 9:44:13 PM] Tamizh: Game poolama
[7/19/26, 9:44:25 PM] Nataraj: 10 min
[7/19/26, 9:56:39 PM] Nataraj: Polam
[7/19/26, 9:57:03 PM] Tamizh: Ok
[7/22/26, 9:57:57 PM] Nataraj: https://www.instagram.com/reel/DbDD7mmz5fb/?igsh=Y21kc250c2FleDN6
[7/23/26, 9:52:07 PM] - +91 63858 74939's security code changed. Tap to learn more.
[7/24/26, 6:15:56 PM] Nataraj: Game polam ah
[7/24/26, 6:44:05 PM] Rolex: <sticker omitted>
[7/24/26, 7:31:50 PM] Sparrow: Polamaaaa bro
[7/24/26, 7:37:31 PM] Nataraj: 10 min
[7/24/26, 8:03:05 PM] Sparrow: Bro
[7/24/26, 8:03:20 PM] Tamizh: Come bhai
[7/24/26, 8:05:12 PM] Nataraj: Mm
[7/26/26, 10:12:21 PM] Tamizh: Game guys
[7/26/26, 10:16:37 PM] Nataraj: Headphones illa bro
[7/26/26, 10:16:57 PM] Tamizh: Nakku
[7/26/26, 10:38:17 PM] Nataraj: <sticker omitted>
[7/27/26, 2:00:22 PM] Tamizh: <sticker omitted>
[7/27/26, 2:02:32 PM] Nataraj: <sticker omitted>
[7/27/26, 8:34:45 PM] Sparrow: Bro polamaaaa
[7/30/26, 3:56:14 PM] Tamizh: [Forwarded] https://kexart.com/
[8/6/26, 1:09:59 PM] Tamizh: <album message>
[8/6/26, 1:10:00 PM] Tamizh: <image omitted>
[8/6/26, 1:10:00 PM] Tamizh: <image omitted>
[8/6/26, 1:26:03 PM] Rolex: <sticker omitted>
[8/6/26, 1:26:21 PM] Nataraj: <sticker omitted>
[8/6/26, 1:26:32 PM] Rolex: <sticker omitted>
[8/6/26, 1:26:48 PM] Nataraj: <sticker omitted>
[8/6/26, 1:27:42 PM] Rolex: <sticker omitted>
[8/6/26, 1:27:55 PM] Nataraj: <sticker omitted>
[8/6/26, 1:28:21 PM] Rolex: <sticker omitted>
[8/6/26, 1:29:16 PM] Tamizh: <sticker omitted>
[8/7/26, 7:08:12 PM] Tamizh: Game
[8/9/26, 3:37:38 PM] Tamizh: <image omitted>
[8/9/26, 3:37:40 PM] Tamizh: <unknown message>
[8/9/26, 3:39:52 PM] Rolex: <sticker omitted>
[8/9/26, 3:40:10 PM] Tamizh: <sticker omitted>
[8/9/26, 3:48:18 PM] Nataraj: <sticker omitted>
[8/9/26, 4:06:35 PM] Tamizh: <sticker omitted>
[8/16/26, 8:52:34 PM] Tamizh: Game
[8/16/26, 8:52:44 PM] Nataraj: Tomorrow
[8/16/26, 8:53:36 PM] You: Ok
[8/16/26, 8:56:28 PM] Tamizh: Aaja bhai
[8/18/26, 8:43:18 PM] Rolex: Game ??
[8/18/26, 8:43:32 PM] Tamizh: Potta
[8/18/26, 8:43:49 PM] Rolex: <sticker omitted>
